MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
50,RM,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,None,3,4,PConc,2,3,No,LwQ,686,Unf,0,0,686,GasA,3,Y,SBrkr,966,686,0,1652,1,0,2,0,4,1,3,7,Typ,0,0,Detchd,Unf,1,416,3,3,Y,0,0,196,0,0,0,1200,6,2010,WD,Normal,139000
20,RL,7599,Pave,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,CompShg,HdBoard,Plywood,None,3,3,CBlock,3,3,No,ALQ,565,Unf,0,280,845,GasA,3,Y,SBrkr,845,0,0,845,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,Unf,2,360,3,3,Y,0,0,0,0,0,0,0,6,2007,WD,Normal,129500
20,RL,8176,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,No,Rec,846,Unf,0,210,1056,GasA,2,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,RFn,1,308,3,3,Y,0,0,0,0,0,0,0,8,2007,WD,Normal,139000
60,RL,8750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,3,PConc,4,3,No,GLQ,505,Unf,0,299,804,GasA,5,Y,SBrkr,804,878,0,1682,0,0,2,1,3,1,4,7,Typ,0,0,Attchd,RFn,2,523,3,3,Y,0,77,0,0,0,0,0,6,2010,WD,Normal,200500
30,RL,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,3,3,CBlock,3,3,No,BLQ,262,Unf,0,599,861,GasA,5,Y,SBrkr,861,0,0,861,0,0,1,0,1,1,3,4,Typ,0,0,Detchd,Unf,2,539,3,3,Y,158,0,0,0,0,0,0,3,2009,WD,Normal,82500
20,RL,9120,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,MetalSd,MetalSd,None,3,3,CBlock,3,3,No,ALQ,662,Unf,0,599,1261,GasA,5,Y,SBrkr,1261,0,0,1261,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,RFn,2,433,3,3,Y,0,0,0,0,288,0,1400,11,2008,WD,Normal,163000
50,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,4,5,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,3,3,Slab,0,0,NA,NA,0,NA,0,0,0,GasA,4,N,SBrkr,672,240,0,912,0,0,1,0,2,1,3,3,Typ,0,0,NA,NA,0,0,0,0,N,0,0,0,0,0,0,0,7,2006,WD,Normal,80500
60,RL,12384,Pave,Reg,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,3,3,CBlock,4,3,No,Unf,0,Unf,0,793,793,GasA,3,Y,SBrkr,1142,793,0,1935,0,0,2,1,3,1,3,7,Typ,1,3,Attchd,RFn,2,550,3,3,Y,0,113,252,0,0,0,0,11,2007,WD,Normal,197900
20,RL,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,3,3,CBlock,3,3,No,BLQ,490,Unf,0,935,1425,GasA,4,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,3,7,Typ,1,4,Attchd,RFn,2,576,3,3,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,180500
20,RL,11553,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,Plywood,Plywood,BrkFace,3,3,CBlock,3,3,No,BLQ,673,Unf,0,378,1051,GasA,3,Y,SBrkr,1159,0,0,1159,0,0,1,1,3,1,3,7,Typ,1,2,Attchd,Unf,1,336,3,3,Y,466,0,0,0,0,0,0,7,2006,WD,Normal,158000
20,RL,15256,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,RRAn,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,Gd,GLQ,929,Unf,0,556,1485,GasA,5,Y,SBrkr,1464,0,0,1464,1,0,2,0,3,1,4,6,Typ,0,0,Attchd,Unf,3,754,3,3,Y,168,160,0,0,0,0,0,8,2007,WD,Normal,282922
60,RL,9965,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,5,3,Av,GLQ,984,Unf,0,280,1264,GasA,5,Y,SBrkr,1282,1414,0,2696,1,0,2,1,4,1,5,10,Typ,1,4,BuiltIn,Fin,3,792,3,3,Y,120,184,0,0,168,0,0,10,2007,New,Partial,383970
60,RL,16059,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,CompShg,HdBoard,HdBoard,BrkFace,4,3,CBlock,4,3,No,Unf,0,Unf,0,1288,1288,GasA,5,Y,SBrkr,1301,1116,0,2417,0,0,2,1,4,1,4,9,Typ,1,3,Attchd,Unf,2,462,3,3,Y,127,82,0,0,0,0,0,4,2006,WD,Normal,260000
20,RL,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,4,3,CBlock,3,3,No,ALQ,247,Rec,713,557,1517,GasA,5,Y,SBrkr,1888,0,0,1888,0,0,2,1,2,1,4,6,Mod,1,4,Attchd,Fin,2,578,3,3,Y,0,0,0,0,0,0,0,6,2010,WD,Normal,190000
20,RL,9758,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1971,1971,Gable,CompShg,HdBoard,MetalSd,None,3,3,CBlock,3,3,No,BLQ,412,LwQ,287,251,950,GasA,3,Y,SBrkr,950,0,0,950,0,0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,7,2007,WD,Normal,119500
160,FV,2280,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,3,PConc,4,3,No,ALQ,549,Unf,0,195,744,GasA,4,Y,SBrkr,757,744,0,1501,0,0,2,1,3,1,3,6,Typ,0,0,Detchd,Unf,2,440,3,3,Y,0,0,0,0,0,0,0,8,2008,WD,Normal,179400
20,RL,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,7,1950,1995,Gable,CompShg,VinylSd,HdBoard,None,3,3,CBlock,4,3,No,BLQ,442,Unf,0,625,1067,GasA,3,Y,SBrkr,1067,0,0,1067,0,0,2,0,2,1,4,4,Min2,0,0,Attchd,Unf,2,436,3,3,Y,290,0,0,0,0,0,0,2,2010,WD,Normal,128000
120,RL,3196,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,Gd,Unf,0,Unf,0,1374,1374,GasA,5,Y,SBrkr,1557,0,0,1557,0,0,2,0,2,1,4,7,Typ,1,3,Attchd,Fin,2,420,3,3,Y,143,20,0,0,0,0,0,10,2006,WD,Normal,234000
20,RL,9991,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,None,3,3,CBlock,3,3,No,BLQ,1116,Unf,0,165,1281,GasA,5,Y,SBrkr,1620,0,0,1620,1,0,2,0,3,1,3,8,Min1,1,3,Attchd,Unf,2,490,3,3,Y,120,78,0,0,0,0,0,6,2009,WD,Normal,150000
50,RL,7585,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,3,1948,1950,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,2,2,Mn,Unf,0,Unf,0,810,810,GasA,2,Y,FuseA,1002,454,0,1456,1,1,1,0,4,1,3,7,Typ,1,3,Detchd,Unf,1,280,3,3,P,0,0,0,0,0,0,0,8,2006,WD,Normal,91500
60,RL,9120,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1974,1974,Hip,CompShg,HdBoard,HdBoard,BrkFace,4,3,CBlock,3,3,No,ALQ,442,Unf,0,459,901,GasA,3,Y,SBrkr,943,933,0,1876,0,0,2,1,4,1,4,8,Typ,1,3,Attchd,RFn,2,540,4,3,Y,0,69,0,0,0,0,0,7,2008,WD,Normal,185000
20,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2000,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,3,PConc,4,3,No,Unf,0,Unf,0,1349,1349,GasA,5,Y,SBrkr,1349,0,0,1349,0,0,2,0,3,1,3,6,Typ,0,0,Attchd,Unf,2,539,3,3,Y,120,55,0,0,0,0,0,12,2007,WD,Normal,179000
20,RL,8280,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1950,1950,Gable,CompShg,BrkFace,BrkFace,None,3,3,CBlock,3,3,No,Unf,0,Unf,0,932,932,GasA,5,Y,FuseA,932,0,0,932,0,0,1,0,2,1,4,4,Typ,1,4,Attchd,Unf,1,306,3,3,Y,0,0,214,0,0,0,0,11,2007,WD,Normal,124000
60,RL,7226,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,Unf,0,Unf,0,798,798,GasA,5,Y,SBrkr,798,842,0,1640,0,0,2,1,3,1,4,6,Typ,0,0,Attchd,RFn,2,595,3,3,Y,0,45,0,0,0,0,0,6,2008,WD,Normal,183000
20,RL,13284,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosN,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,Wd Sdng,Plywood,None,3,3,PConc,4,3,Mn,BLQ,1064,Unf,0,319,1383,GasA,3,Y,SBrkr,1383,0,0,1383,1,0,1,0,3,1,3,6,Typ,1,4,Attchd,Unf,1,354,3,3,Y,511,116,0,0,0,0,0,6,2008,WD,Normal,165000
20,RL,11988,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,1957,1957,Gable,CompShg,VinylSd,VinylSd,None,3,3,CBlock,3,3,No,Rec,777,Unf,0,467,1244,GasA,5,Y,FuseA,1244,0,0,1244,0,0,1,1,3,1,3,6,Typ,2,4,Attchd,Unf,1,336,3,3,Y,0,40,0,0,0,0,0,5,2007,WD,Normal,150000
20,RL,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,3,3,No,GLQ,646,Unf,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
20,RL,11838,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,Av,Unf,0,Unf,0,1753,1753,GasA,5,Y,SBrkr,1788,0,0,1788,0,0,2,0,3,1,5,7,Typ,1,3,Attchd,RFn,2,522,3,3,Y,202,151,0,0,0,0,0,6,2009,WD,Normal,236500
160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,BrkFace,3,3,CBlock,3,3,No,ALQ,231,Unf,0,399,630,GasA,3,Y,SBrkr,630,672,0,1302,0,0,2,1,3,1,3,6,Typ,0,0,Detchd,Unf,1,264,3,3,Y,185,0,0,0,0,0,0,2,2009,WD,Normal,119500
20,RL,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2000,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,No,Unf,0,Unf,0,1630,1630,GasA,5,Y,SBrkr,1630,0,0,1630,0,0,2,0,3,1,4,6,Typ,1,3,Attchd,Unf,2,451,3,3,Y,74,234,0,0,0,0,0,10,2009,WD,Normal,213000
20,RL,14587,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,No,Unf,0,Unf,0,1498,1498,GasA,5,Y,SBrkr,1506,0,0,1506,0,0,2,0,2,1,5,6,Typ,1,4,Attchd,Fin,2,592,3,3,Y,0,174,0,0,0,0,0,8,2008,New,Partial,264132
30,RL,13907,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1940,1969,Gable,CompShg,WdShing,Wd Shng,None,3,3,CBlock,3,3,No,BLQ,290,Unf,0,706,996,GasA,5,Y,SBrkr,996,0,0,996,1,0,1,0,3,1,3,6,Typ,1,4,NA,NA,0,0,0,0,Y,144,0,0,0,0,0,0,7,2008,WD,Normal,108000
120,RM,4435,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,Av,GLQ,685,Unf,0,163,848,GasA,5,Y,SBrkr,848,0,0,848,1,0,1,0,1,1,4,4,Typ,0,0,Attchd,Fin,2,420,3,3,Y,140,0,0,0,0,0,0,6,2009,WD,Normal,144000
60,RL,11787,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,No,GLQ,719,Unf,0,660,1379,GasA,5,Y,SBrkr,1383,1015,0,2398,1,0,2,1,3,1,4,8,Typ,1,3,Attchd,Fin,3,834,3,3,Y,239,60,0,0,0,0,0,8,2007,WD,Normal,315750
60,RL,15623,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,10,5,1996,1996,Hip,CompShg,Wd Sdng,ImStucc,None,4,3,PConc,5,3,Av,GLQ,2096,Unf,0,300,2396,GasA,5,Y,SBrkr,2411,2065,0,4476,1,0,3,1,4,1,5,10,Typ,2,3,Attchd,Fin,3,813,3,3,Y,171,78,0,0,0,555,0,7,2007,WD,Abnorml,745000
60,RL,9179,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,No,GLQ,633,Unf,0,240,873,GasA,5,Y,SBrkr,882,908,0,1790,1,0,2,1,3,1,4,7,Typ,0,0,Attchd,RFn,2,588,3,3,Y,0,88,0,0,0,0,0,6,2008,WD,Abnorml,193000
50,RL,7804,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,3,3,BrkTil,3,3,No,BLQ,622,Unf,0,500,1122,GasA,3,Y,SBrkr,1328,653,0,1981,1,0,2,0,4,1,4,7,Min2,2,3,Detchd,Unf,2,576,3,3,Y,431,44,0,0,0,0,0,12,2009,WD,Normal,135000
50,RL,8405,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,3,3,BrkTil,3,4,No,Rec,241,BLQ,391,229,861,GasA,5,Y,SBrkr,961,406,0,1367,1,0,1,0,4,1,3,7,Typ,0,0,Detchd,Unf,1,384,3,3,Y,0,130,112,0,0,0,0,4,2008,WD,Normal,119000
20,RL,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,No,Unf,0,Unf,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,Unf,1,271,3,3,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350
20,RL,9920,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1969,1969,Gable,CompShg,HdBoard,Plywood,None,3,3,CBlock,4,3,Gd,ALQ,523,Unf,0,448,971,GasA,3,Y,SBrkr,971,0,0,971,0,0,1,1,3,1,3,5,Typ,1,1,Attchd,Unf,1,300,3,3,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,128500
120,RM,4435,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,Av,GLQ,685,Unf,0,163,848,GasA,5,Y,SBrkr,848,0,0,848,1,0,1,0,1,1,4,4,Typ,0,0,Attchd,Fin,2,420,3,3,Y,140,0,0,0,0,0,0,5,2009,WD,Normal,140000
50,RL,7438,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,3,3,PConc,2,3,No,Unf,0,Unf,0,504,504,GasA,4,Y,SBrkr,936,316,0,1252,0,0,1,0,3,1,3,5,Typ,0,0,Attchd,Unf,2,576,3,3,Y,104,0,0,0,0,0,0,6,2006,WD,Normal,127000
50,RM,9000,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,4,PConc,3,3,No,Unf,0,Unf,0,780,780,GasA,3,Y,SBrkr,780,595,0,1375,0,0,1,1,3,1,4,6,Typ,1,4,Detchd,Unf,1,544,3,3,P,0,162,0,0,126,0,0,12,2007,WD,Normal,141000
20,RL,9416,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,5,3,PConc,5,3,No,GLQ,1126,Unf,0,600,1726,GasA,5,Y,SBrkr,1726,0,0,1726,1,0,2,0,3,1,5,8,Typ,1,4,Attchd,Fin,3,786,3,3,Y,171,138,0,0,266,0,0,9,2007,New,Partial,311872
190,RL,12180,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,4,4,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,3,2,BrkTil,4,3,No,BLQ,348,Unf,0,324,672,Grav,2,N,FuseA,672,252,0,924,1,0,1,0,2,1,2,5,Typ,0,0,Detchd,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,7,2010,WD,Normal,80000
60,RL,8158,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,No,GLQ,550,Unf,0,334,884,GasA,5,Y,SBrkr,884,884,0,1768,1,0,2,1,3,1,4,8,Typ,0,0,Attchd,RFn,2,543,3,3,Y,0,63,0,0,0,0,0,7,2008,WD,Normal,224900
